City,Original Equipment Manufacturer,Car,Year,Price,Kms Driven,Owner,Fuel Type,Transmission,Mileage,Max Power,Engine
Bangalore,Maruti,Maruti Celerio,2015,4.0,120000.0,3,Petrol,Manual,23.1,67.04,998.0
Bangalore,Ford,Ford Ecosport,2018,8.11,32706.0,2,Petrol,Manual,17.0,121.31,1497.0
Bangalore,Tata,Tata Tiago,2018,5.85,11949.0,1,Petrol,Manual,23.84,84.0,1199.0
Bangalore,Hyundai,Hyundai Xcent,2014,4.62,17794.0,1,Petrol,Manual,19.1,81.86,1197.0
Bangalore,Maruti,Maruti SX4 S Cross,2015,7.9,60000.0,1,Diesel,Manual,23.65,88.5,1248.0
Bangalore,Jeep,Jeep Compass,2020,19.0,20000.0,1,Diesel,Manual,17.1,170.0,1956.0
Bangalore,Datsun,Datsun GO,2017,3.45,37772.0,1,Petrol,Manual,20.63,67.0,1198.0
Bangalore,Hyundai,Hyundai Venue,2021,12.0,30000.0,1,Petrol,Automatic,18.15,118.35,998.0
Bangalore,Maruti,Maruti Ciaz,2018,9.6,37000.0,1,Petrol,Automatic,20.28,103.25,1462.0
Bangalore,Tata,Tata Tiago,2017,5.85,11949.0,1,Petrol,Manual,23.84,84.0,1199.0
Bangalore,Maruti,Maruti Baleno,2018,6.9,50000.0,1,Petrol,Manual,21.4,83.1,1197.0
Bangalore,Hyundai,Hyundai Grand i10,2019,6.82,24887.0,1,Petrol,Automatic,18.9,81.86,1197.0
Bangalore,Honda,Honda Jazz,2018,8.25,23000.0,1,Petrol,Automatic,18.2,88.7,1199.0
Bangalore,Tata,Tata Tiago,2018,5.95,48928.0,1,Petrol,Automatic,23.84,83.83,1199.0
Bangalore,Mahindra,Mahindra XUV500,2014,6.9,108862.0,3,Diesel,Manual,15.1,140.0,2179.0
Bangalore,Jeep,Jeep Compass,2018,13.5,80000.0,1,Diesel,Manual,17.1,170.0,1956.0
Bangalore,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,16000.0,1,Diesel,Automatic,,187.74,1950.0
Bangalore,Hyundai,Hyundai i20,2014,5.21,65376.0,2,Diesel,Manual,21.27,88.76,1396.0
Bangalore,Tata,Tata Nexon,2022,10.05,10000.0,1,Petrol,Manual,17.33,118.35,1199.0
Bangalore,Honda,Honda City,2016,7.75,67000.0,2,Petrol,Manual,17.8,117.3,1497.0
Bangalore,BMW,BMW 5 Series,2011,22.0,100000.0,3,Diesel,Automatic,18.48,177.0,1995.0
Bangalore,Maruti,Maruti Swift,2016,5.82,18083.0,1,Petrol,Manual,22.38,88.5,1197.0
Bangalore,Renault,Renault Duster,2020,10.9,30000.0,1,Petrol,Manual,16.42,104.55,1498.0
Bangalore,Tata,Tata Tiago,2016,4.57,57634.0,2,Petrol,Manual,23.84,84.0,1199.0
Bangalore,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,50000.0,2,Petrol,Automatic,7.81,453.26,4663.0
Bangalore,Honda,Honda City,2015,5.5,110000.0,1,Petrol,Manual,17.4,117.3,1497.0
Bangalore,Hyundai,Hyundai Santro,2018,5.7,23447.0,1,Petrol,Automatic,20.3,68.0,1086.0
Bangalore,Hyundai,Hyundai Santro Xing,2009,2.2,30000.0,2,Lpg,Manual,13.45,62.1,1086.0
Bangalore,Mercedes-Benz,Mercedes-Benz E-Class,2017,41.45,33000.0,1,Petrol,Automatic,15.0,194.4,1991.0
Bangalore,Mahindra,Mahindra XUV500,2014,8.61,87667.0,2,Diesel,Manual,15.1,140.0,2179.0
Bangalore,Audi,Audi A4,2016,17.85,40000.0,2,Diesel,Automatic,17.11,174.33,1968.0
Bangalore,Mahindra,Mahindra XUV500,2014,8.03,79012.0,2,Diesel,Manual,15.1,140.0,2179.0
Bangalore,Jeep,Jeep Compass,2021,25.65,31344.0,1,Diesel,Manual,17.1,167.67,1956.0
Bangalore,Hyundai,Hyundai Xcent,2018,6.74,50000.0,1,Petrol,Manual,20.14,81.86,1197.0
Bangalore,Maruti,Maruti Wagon R,2015,3.49,12434.0,1,Petrol,Manual,20.51,67.04,998.0
Bangalore,Maruti,Maruti Ertiga,2019,10.5,60000.0,2,Petrol,Manual,19.34,103.0,1462.0
Bangalore,Mercedes-Benz,Mercedes-Benz C-Class,2019,44.25,12000.0,1,Diesel,Automatic,12.6,194.0,1950.0
Bangalore,Maruti,Maruti Wagon R,2015,4.06,40987.0,2,Petrol,Manual,20.51,67.04,998.0
Bangalore,BMW,BMW 5 Series,2020,49.65,18157.0,1,Petrol,Automatic,15.56,248.08,1998.0
Bangalore,Toyota,Toyota Fortuner,2011,11.0,120000.0,3,Diesel,Manual,11.5,171.0,2982.0
Bangalore,Renault,Renault Duster,2020,11.0,40000.0,2,Diesel,Automatic,19.87,108.5,1461.0
Bangalore,Hyundai,Hyundai i20,2016,5.94,89667.0,1,Petrol,Manual,18.6,81.83,1197.0
Bangalore,Hyundai,Hyundai i20,2017,7.1,120000.0,1,Diesel,Manual,22.54,88.73,1396.0
Bangalore,Maruti,Maruti Baleno,2017,6.92,56997.0,1,Petrol,Manual,21.4,83.1,1197.0
Bangalore,Hyundai,Hyundai Elantra,2013,6.5,120000.0,1,Petrol,Manual,16.3,147.5,1797.0
Bangalore,Audi,Audi A6,2015,20.9,59000.0,1,Diesel,Automatic,18.53,187.74,1968.0
Bangalore,Maruti,Maruti Alto 800,2021,4.11,18835.0,1,Petrol,Manual,22.05,47.33,796.0
Bangalore,Mahindra,Mahindra Scorpio,2010,6.5,120000.0,2,Diesel,Manual,12.05,120.0,2179.0
Bangalore,Mini,Mini 3 DOOR,2016,36.75,40000.0,1,Petrol,Automatic,17.33,189.08,1998.0
Bangalore,Tata,Tata Tiago,2019,6.1,60932.0,1,Petrol,Manual,23.84,83.83,1199.0
